Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt,Accuracy of AI response,Image authentic?
1,text,no,0.511690882,0.914384494,0.498721648,0.972201855,0.059357757,4027.359595,137015.1132,97231.71938,6225.089922,36.64179487,-0.457783617,-0.968822257,-0.040181115,0.999385449,0.587628527,0.374227707,-5.224111283,-95.52395672,91.18547141,5.17E-05,0.152592667,98.22571139,46.84615385,2000,2,19.1472772,4,20.0013443,1,24.1572068,1,0
1,text,no,0.412144305,0.433871772,0.395840358,0.434507099,0.060917784,3425.348097,137365.3964,97558.69578,6230.84357,36.71932381,-0.468201721,-0.96540631,-0.011685078,0.824533205,0.441119962,-0.038247554,-5.037284895,-95.07552581,90.86424474,5.67E-05,0.162841541,93.59391825,32.25,2480,1,39.7071636,4,40.6678949,3,42.1220258,1,1
1,text,no,0.634620787,0.65384531,0.611835885,0.66618304,0.062308604,2910.681107,137241.3199,97572.88143,6122.096197,36.80022059,-0.465294643,-0.966734375,-0.009412946,0.892970982,0.519006772,0.047609091,-5.185267857,-94.63616071,90.49107143,6.95E-05,0.180952429,89.27974815,32.88888889,1986.666667,1,13.8103175,4,14.9471722,1,16.2725943,0,0
1,text,no,0.489792669,0.513948615,0.463110619,0.518561898,0.063272893,2568.810742,136698.5318,97195.45891,6126.967442,36.85513776,-0.451936631,-0.972690881,-0.023577399,0.902795981,0.606600311,0.175666667,-5.483771252,-94.08655332,90.45440495,5.17E-05,0.133333342,87.32143846,34.57142857,2005.714286,1,18.1678808,4,19.7046659,3,23.0953305,1,0
1,text,no,0.534293331,0.449799992,0.507196356,0.459196996,0.064443358,2167.473787,137116.2926,97493.21827,6221.037152,36.9018359,-0.446499227,-0.975859351,-0.023896285,0.863900929,0.526640747,0.070829073,-5.253477589,-93.812983,90.00618238,5.67E-05,0.172222278,82.28716154,40.77777778,2648.888889,2,20.965488,3,21.9818372,1,24.8334978,0,0
1,text,no,0.520160244,0.556140995,0.495502505,0.565231248,0.065435492,1837.83028,137598.2622,97781.84706,6231.208403,36.96233889,-0.453540134,-0.972513378,-0.025043478,1.004894472,0.699709184,0.158108581,-5.078595318,-94.96655518,91.40802676,5.12E-05,0.158333313,84.27968611,38,1722.666667,2,20.960394,3,21.6358802,1,23.4057959,0,1
1,text,no,0.493939681,0.398783553,0.463483559,0.396236005,0.069910014,486.5398537,137393.0776,97939.87107,6141.674859,37.12184887,-0.463677847,-0.967724844,-0.002158223,0.921281483,0.522818366,0.123545323,-4.965454911,-95.05503113,92.64470777,5.75E-05,0.162928393,67.9481411,39.25961538,1888.076923,,,,,,,,
2,converstational,no,0.596796383,0.164255738,0.571625038,0.148168112,0.073403789,-483.1547622,137611.2244,98385.49022,6113.302647,37.00854373,-0.476058553,-0.960698048,0.039254879,0.913102535,0.576763615,0.134164925,-4.533869116,-94.74512055,93.3065442,5.59E-05,0.149999972,59.9835981,34.33333333,2365.333333,1,22.943129,4,24.2848015,3,34.053123,1,0
2,converstational,no,0.518280154,0.405234736,0.492983468,0.417224074,0.074063719,-653.0018303,138212.5197,98845.69737,6143.518914,36.92354743,-0.490134426,-0.953165574,0.045608696,0.903441803,0.426074503,0.065576599,-4.21147541,-95.64672131,93.91885246,4.95E-05,0.123809514,48.09230541,38.59259259,1850.37037,1,42.058776,2,43.4698454,3,48.966502,1,0
2,converstational,no,0.420130423,0.631653591,0.411194128,0.621419962,0.074883089,-859.8430676,138262.9888,99028.95409,6080.419933,36.85773704,-0.491428571,-0.951043527,0.06138058,0.934556425,0.648498309,0.211498262,-4.457589286,-94.25892857,92.17299107,5.28E-05,0.121212182,43.10602963,40.72727273,1612.727273,2,29.0645885,3,30.2237836,1,32.8957564,0,1
