Question Number,Question Type,Choice,left eye 1,left eye 2,right eye 1,right eye 2,EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Accept_Deny_button.response,Accept_Deny_button.rt,Confidence_Slider.response,Confidence_Slider.rt,Deny_Slider.response,Deny_Slider.rt
3,feature,no,0.326833743,0.407966491,0.320232168,0.396290901,0.423086179,-16235.73946,144888.0113,113052.6715,5712.455717,34.11007447,0.9225209,0.250675241,-0.083188103,0.843723027,0.598595779,0.052690909,34.66559486,-81.20096463,99.76688103,0,0,0,25.6,4448,2,15.2054714,5,16.8970468,1,24.5407598
3,feature,no,0.429247417,0.794023729,0.424681369,0.799706682,0.422743138,-16233.057,144849.4687,113129.1252,5746.621697,34.13427189,0.922135734,0.251648199,-0.081177285,0.915019444,0.611501401,0.072266094,33.90166205,-81.94598338,99.01800554,0,0,0,29.18181818,2709.090909,2,25.8268318,4,27.3086201,1,27.9557949
3,feature,no,0.304332099,0.304442377,0.296496472,0.2910941,0.42584864,-16257.16314,144242.0368,112891.154,5792.475862,34.15574525,0.921342135,0.247833525,-0.106366246,0.893332566,0.552013841,0.099647551,32.7967853,-81.73938002,97.07577497,0,0,0,40.28571429,2591.428571,2,23.0806827,4,25.8970396,1,29.0159529
3,feature,no,0.438352148,0.431324243,0.440146107,0.421768368,0.42775293,-16271.81285,143822.2361,112671.1056,5782.347409,34.18681646,0.918640535,0.250703633,-0.119982792,0.883173745,0.573818182,0.069579256,33.15487572,-81.64627151,96.69216061,0,0,0,41.21428571,1422.857143,1,13.9848763,4,19.152981,1,20.4352197
3,feature,no,0.494611321,0.479198362,0.495973058,0.452296103,0.428647593,-16278.6413,144052.3266,112755.5324,5747.286353,34.19547407,0.914970982,0.263493304,-0.114455357,0.892182432,0.620970721,0.075083333,33.25223214,-81.578125,96.95089286,0,0,0,45.33333333,1662.222222,2,14.2278417,4,15.8203442,1,16.5642438
3,feature,no,0.31277608,0.353002692,0.31929033,0.31760343,0.428681963,-16278.90374,145466.6876,113358.5282,5833.230274,34.20965775,0.923990369,0.239699839,-0.102585875,0.924869355,0.621574675,0.171216529,33.69502408,-83.06902087,97.40288925,0,0,0,40.66666667,3693.333333,2,14.211726,4,15.0887662,1,18.6046676
3,feature,no,0.338386468,0.750865446,0.327400667,0.777080723,0.428943252,-16280.88704,144735.7361,113346.0569,5815.598611,34.22406849,0.908303324,0.261603878,-0.146155125,0.796019417,0.502326843,-0.25996338,30.49861496,-80.83795014,94.5498615,0,0,0,35.2,3106.666667,1,20.9031197,5,21.6234279,1,27.9069279
3,feature,no,0.358023538,0.671857391,0.348200133,0.667211749,0.428980043,-16281.16665,144320.3222,112800.4396,5696.642732,34.28364535,0.910164336,0.265055944,-0.144578671,0.968850877,0.640748252,0.068539305,33.79370629,-82.62587413,96.1013986,0,0,0,39.46153846,1713.846154,1,19.5306078,4,20.5861097,1,22.2148341
3,feature,no,0.235768468,0.328115672,0.218557309,0.29148058,0.430649549,-16293.80856,144198.3163,112482.8004,5639.072187,34.33846853,0.910291755,0.264424947,-0.145052854,0.884995763,0.582236674,0.088794702,33.84143763,-82.63002114,95.91331924,3.30E-05,0.066667,1.546963636,41.45454545,1741.818182,1,15.258075,5,16.6329409,3,17.7929632
3,feature,no,0.370389593,0.561857346,0.361943085,0.545187204,0.432959565,-16311.14508,144077.8347,112289.7373,5651.175847,34.41485915,0.908272727,0.272315011,-0.138287526,0.828914894,0.602102564,0.065538462,33.57505285,-82.50739958,96.18393235,0,0,0.807317544,40.9,1804,2,15.6967976,4,16.5278905,1,17.405563
