EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,Question Type,left eye 1,left eye 2,right eye 1,right eye 2,Accuracy of AI response,Image authentic?,response
-0.857909424736423,0.5123426494913886,-0.007017909749879027,-0.13698521540827283,1.3286513758432015,-0.2961422502383847,-1.0475212622289198,-0.68151194376572,-0.5160254348511009,-0.052717428253755166,-0.029404803443732704,0.31116924517789996,-0.7189149814909692,-0.7889922454413243,-0.2812094876134186,-0.17650726743556816,0.9191669517625077,1.5136098776000935,-0.5339752032330551,-0.22860852175476137,converstational,0.372366152,0.358404849,0.361481116,0.315473812,1.0,1.0,0
-0.7516968859062504,0.3476833237136696,0.22775755090922525,-0.0074061064667579534,1.532243180700887,-0.10092274306064421,-1.0492817958277607,-0.7271772125792051,-0.559473821773513,0.3117370675566045,-0.4490930176495358,-0.09323227101084898,-0.7380937046429084,-0.7986996832149493,-0.3762042162131327,-0.2915697491246835,0.798572914787581,1.3487051063472446,-0.4760862420642165,0.3024319012571793,converstational,0.303274195,0.263673097,0.291045522,0.21451161,1.0,1.0,1
-0.6615954191694626,0.22592454729980802,0.31859928822426586,0.07311267195768828,1.328851249432161,0.05949270121971986,-1.0541061890262549,-0.7560792468921076,-0.5927770100714437,0.0031623211982966643,-0.21153471927459241,0.31204349789099484,-0.6747589637657163,-0.8273627762855031,-0.45184998039581004,-0.19696281973585547,0.7934250378365744,1.4579630364540652,-0.057080427683020414,-0.41920491544554517,converstational,0.293813921,0.261576183,0.278684522,0.219880713,1.0,0.0,1
-0.5486409079971809,0.08846882284218248,0.42639251225085995,0.18564308572408758,1.0831544688280863,0.25872523088251365,-1.0899770275712228,-0.8613973099039569,-0.7059845612326383,0.007107731475825271,-0.01803278028986193,0.24464627112725199,-0.683457367942035,-0.8267579824057647,-0.4942304867218317,0.05106075190512651,0.7877643505056161,1.179654115924129,0.2234053720592482,-0.42067481032741527,converstational,0.363058988,0.330913398,0.357998454,0.291933618,0.0,0.0,0
-0.43375177958850275,-0.03455321589283941,0.5954627134870433,0.28372254521562146,1.1338333652235169,0.42345049091396986,-0.805637268898457,-0.7428050769663967,-0.5833011380829369,0.09897548083391612,-0.6022312307132761,-0.08807715995868032,-0.7850400711134621,-0.4575223720959035,-0.48793704467580334,-0.15860865917281716,0.7284882401256971,1.1908752948886066,-0.2745086093538101,-0.27552267241498263,converstational,0.393420422,0.387980079,0.386877093,0.360780692,1.0,0.0,1
-0.34022460355689016,-0.1254295598936819,0.5134250135543669,0.3288115265756625,0.6281781805018387,0.50591374100091,-0.6109483984313827,-0.8943377485503642,-0.8577141128892154,-0.021906822138449855,-0.36214983357868835,0.5354441821617304,-0.7356032864669702,-0.38723730832332626,-0.6530614366064261,0.3118690437337876,0.7968979935498969,1.123333864372313,0.5852113793644886,-0.5383777712432801,converstational,0.384270637,0.305047194,0.372921441,0.26544489,1.0,1.0,1
-0.26596887308068706,-0.19137719176095988,0.628740331153439,0.37116210997909904,0.7353770903279914,0.5304226244299571,-0.6548763808233826,-0.9747737270865555,-0.9627696505120826,0.03689739384754472,-0.29847453891055303,0.3946308282642567,-0.7150966705544265,-0.4535315705431633,-0.7797669071668927,0.25817321894553386,1.051949645190294,0.9403378586856243,0.4312118994433263,-0.4114408539481672,converstational,0.30750468,0.266867403,0.299688418,0.233277662,1.0,1.0,1
-0.16642865898055295,-0.27302078284806264,0.6860974974024708,0.39816837208342065,0.7272088290630545,0.5728196879992836,-0.8938085184338159,-0.9339637743613526,-0.8554164881924019,0.20939359353471365,-0.0672473722980036,0.4924445983132914,-0.6694117054671191,-0.5235060413311595,-0.714505513399759,-0.2915697491246835,0.15827844635645463,1.108464592625078,0.007985243638299453,-0.32014750395374103,converstational,0.397715689,0.465313567,0.386253615,0.433916309,0.0,0.0,0
0.3475147077856957,-0.6016247180417568,0.6961979117015433,0.562711938286995,0.28062938947295235,0.6463796618730379,-0.9450573662554789,-0.9050574085197381,-0.8088970967320671,0.29168569690519563,-0.5028975501561262,0.18085051519295103,-0.7366898752677893,-0.8275826381008188,-0.9065303043489127,0.2760718272082852,0.40538801027773036,0.27545903525490284,0.7172992868852734,-0.5370415030090573,text,0.448228718,0.397927995,0.444814001,0.394597623,1.0,1.0,1
0.42346723777795736,-0.6400862733807543,0.7856107714477297,0.641094780681045,0.16818469413076834,0.6584878462035783,0.40581868972054763,0.3710453102126682,0.4946140461930148,1.1972772244586247,0.5582095454753692,-2.6567010224796332,-0.6399903436008794,0.5504444601624907,0.31684685772244314,0.306755155658716,0.03950232463856733,0.30416256435828903,0.6079917574950244,-0.521185690488991,text,0.642900506,0.333615277,0.644989293,0.317582899,0.0,1.0,1
