EA,EL,PI,PR,PG,TH,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,SA,SR,SF,HR,BI,left eye 1,left eye 2,right eye 1,right eye 2,Accuracy of AI response,Image authentic?,response
0.318392898,-15148.43242,145647.9194,126112.282,6589.617266,37.00660476,-0.805041607,-0.370905308,0.574322812,0.914491379,0.562648844,0.136496195,26.21807747,-105.1018651,104.3314204,0.0001125,0.133333,2.083363095,75.82352941,818.8235294,0.289287746,0.386629108,0.276611545,0.364146185,1.0,0.0,1
0.321210561,-15186.94866,145708.7115,126177.389,6671.957567,36.9833785,-0.792744186,-0.373959831,0.589482734,0.8929105,0.558342068,0.135879234,26.10500352,-104.7963354,104.7075405,0.000256,0.066667,2.90065614,77.47826087,820.8695652,0.46451794,0.412411178,0.452313385,0.404748012,0.0,1.0,0
0.324899429,-15236.37654,143129.1845,125169.7155,6117.478715,37.01168227,-0.844264137,-0.427389881,0.477049107,1.098697761,0.819771084,-0.07758618,26.99702381,-112.4166667,99.52306548,0.000203,0.133333,1.514657669,76.578125,830.0,0.333504859,0.300626876,0.318485503,0.273812965,0.0,0.0,1
0.329907732,-15301.72584,143564.531,125288.3554,6115.406124,37.08076064,-0.846289157,-0.376453815,0.45937992,0.647967794,0.606440389,0.360681818,26.90682731,-111.1871486,99.83212851,0.000363,0.066667,0.72224,75.52727273,901.0909091,0.295990608,0.399882409,0.288115424,0.364773938,1.0,1.0,0
0.334711879,-15362.6159,143691.5576,125350.8569,6147.696546,37.10502717,-0.857897457,-0.421541427,0.459855619,0.90604758,0.577127677,0.138686684,24.60869565,-110.5758819,100.8613618,0.00026,0.133333,1.570404762,82.41538462,753.8461538,0.293015415,0.362308301,0.283107907,0.325939314,1.0,0.0,1
0.339669593,-15423.5858,144613.7656,125712.3363,6388.771429,37.1316432,-0.811660336,-0.320002191,0.569463842,0.821451023,0.466851331,0.219685671,24.09276844,-105.1241782,103.9196494,0.0001146,0.0933334,3.762521687,64.42553191,1152.340426,0.384698803,0.468948955,0.375174024,0.444866282,0.0,1.0,1
0.344161706,-15477.41288,144145.7593,125542.3012,6323.966066,37.10896503,-0.794719873,-0.391128964,0.576567653,1.19428526,0.667445037,-0.080598698,27.82241015,-108.1680761,100.5317125,6e-05,0.066667,2.320914912,77.53191489,801.7021277,0.493999162,0.545480057,0.48106251,0.531121868,1.0,0.0,0
0.346786358,-15508.19316,143630.8004,125407.9469,6196.152866,37.13859441,-0.830575949,-0.438972574,0.480962025,0.195362869,0.956917927,0.142893013,24.45780591,-108.6097046,99.35021097,0.0,0.0,2.226312281,80.58333333,803.3333333,0.537650262,0.323068536,0.527095062,0.300051795,1.0,1.0,1
0.34918252,-15535.87019,143223.9252,125212.1468,6081.128058,37.1489,-0.855639368,-0.488860632,0.403847701,0.894854885,0.527249637,0.146009036,20.6795977,-107.9727011,98.69109195,0.000161,0.066667,2.227684524,78.47058824,810.5882353,0.423142158,0.505181399,0.410802011,0.487340846,0.0,1.0,0
0.352205795,-15570.26613,143901.2581,125367.15,6178.53871,37.20123404,-0.897197432,-0.326532905,0.410454254,0.85431562,0.781479871,0.438986928,24.11075441,-110.0304976,98.39486356,0.0,0.0,0.99142,69.54545455,1130.909091,0.378466461,0.356056738,0.364945487,0.321455108,1.0,1.0,1
0.354913787,-15600.56719,143340.4077,125007.1779,6053.687919,37.1999558,-0.881033501,-0.421586265,0.418329983,1.039485762,0.581205042,0.029345196,22.14907873,-109.5041876,97.90452261,0.0,0.0,0.420511111,76.2,802.6666667,0.389521759,0.418438875,0.381258966,0.374853716,1.0,1.0,1
