LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1660659886.274031,293649.000,31889,1,SF,1,100,0.0000
1660659886.607081,293974.000,31938,1,SF,1,100,0.0000
1660659886.940132,294299.000,31987,1,SF,1,100,0.0000
1660659887.274207,294625.000,32038,1,SF,1,100,0.0000
1660659887.671818,295013.000,32104,1,SF,1,100,0.0000
1660659888.004868,295338.000,32152,1,SF,1,100,0.0000
1660659888.272333,295599.000,32204,1,SF,1,100,0.0000
1660659888.605384,295924.000,32253,1,SF,1,100,0.0000
1660659888.934335,296245.000,32303,1,SF,1,100,0.0000
1660659889.336045,296637.000,32368,1,SF,1,100,0.0000
1660659889.669096,296962.000,32419,1,SF,1,100,0.0000
1660659889.934511,297221.000,32468,1,SF,1,100,0.0000
1660659890.267562,297546.000,32516,1,SF,1,100,0.0000
1660659890.600612,297871.000,32567,1,SF,1,100,0.0000
1660659890.930588,298193.000,32621,1,SF,1,100,0.0000
1660659891.264664,298519.000,32673,1,SF,1,100,0.0000
1660659891.664324,298909.000,32740,1,SF,1,100,0.0000
1660659891.931789,299170.000,32788,1,SF,1,100,0.0000
1660659892.261765,299492.000,32837,1,SF,1,100,0.0000
1660659892.596865,299819.000,32887,1,SF,1,100,0.0000
1660659892.996526,300209.000,32953,1,SF,1,100,0.0000
1660659893.325477,300530.000,33004,1,SF,1,100,0.0000
1660659893.592942,300791.000,33054,1,SF,1,100,0.0000
1660659893.927018,301117.000,33104,1,SF,1,100,0.0000
1660659894.258019,301440.000,33154,1,SF,1,100,0.0000
1660659894.657679,301830.000,33220,1,SF,1,100,0.0000
1660659894.992779,302157.000,33271,1,SF,1,100,0.0000
1660659895.325830,302482.000,33319,1,SF,1,100,0.0000
1660659895.588171,302738.000,33369,1,SF,1,100,0.0000
1660659895.990906,303131.000,33427,1,SF,1,100,0.0000
1660659896.257346,303391.000,33461,1,SF,1,100,0.0000
1660659896.652908,303777.000,33527,1,SF,1,100,0.0000
1660659896.986983,304103.000,33579,1,SF,1,100,0.0000
1660659897.254448,304364.000,33628,1,SF,1,100,0.0000
1660659897.584424,304686.000,33676,1,SF,1,100,0.0000
1660659897.916450,305010.000,33728,1,SF,1,100,0.0000
1660659898.317135,305401.000,33793,1,SF,1,100,0.0000
1660659898.649161,305725.000,33842,1,SF,1,100,0.0000
1660659898.913552,305983.000,33891,1,SF,1,100,0.0000
1660659899.248652,306310.000,33943,1,SF,1,100,0.0000
1660659899.580677,306634.000,33992,1,SF,1,100,0.0000
1660659899.979313,307023.000,34058,1,SF,1,100,0.0000
1660659900.313388,307349.000,34108,1,SF,1,100,0.0000
1660659900.579829,307609.000,34157,1,SF,1,100,0.0000
1660659900.911854,307933.000,34206,1,SF,1,100,0.0000
1660659901.309465,308321.000,34262,1,SF,1,100,0.0000
1660659901.642516,308646.000,34313,1,SF,1,100,0.0000
1660659901.911006,308908.000,34362,1,SF,1,100,0.0000
1660659902.240982,309230.000,34410,1,SF,1,100,0.0000
1660659902.574032,309555.000,34461,1,SF,1,100,0.0000
1660659902.976767,309948.000,34527,1,SF,1,100,0.0000
1660659903.305719,310269.000,34575,1,SF,1,100,0.0000
1660659903.574208,310531.000,34625,1,SF,1,100,0.0000
1660659903.908284,310857.000,34675,1,SF,1,100,0.0000
1660659904.240309,311181.000,34724,1,SF,1,100,0.0000
1660659904.638945,311570.000,34790,1,SF,1,100,0.0000
1660659904.973020,311896.000,34840,1,SF,1,100,0.0000
1660659905.239461,312156.000,34891,1,SF,1,100,0.0000
1660659905.568412,312477.000,34939,1,SF,1,100,0.0000
1660659905.903512,312804.000,34991,1,SF,1,100,0.0000
1660659906.304198,313195.000,35056,1,SF,1,100,0.0000
1660659906.634174,313517.000,35096,1,SF,1,100,0.0000
1660659906.970298,313845.000,35147,1,SF,1,100,0.0000
