LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1660659832.327030,241006.000,23341,3,MX,1,100,-14
1660659832.369558,241047.500,23357,2,MX,1,100,-13
1660659832.412086,241089.000,23357,2,MX,1,100,-12
1660659832.451369,241127.333,23373,3,MX,1,100,-13
1660659832.490652,241165.667,23373,3,MX,1,100,-13
1660659832.529935,241204.000,23373,3,MX,1,100,-14
1660659832.570926,241244.000,23390,2,MX,1,100,-14
1660659832.611917,241284.000,23390,2,MX,1,100,-13
1660659832.650858,241322.000,23407,3,MX,1,100,-13
1660659832.689799,241360.000,23407,3,MX,1,100,-13
1660659832.728740,241398.000,23407,3,MX,1,100,-14
1660659832.770756,241439.000,23423,2,MX,1,100,-14
1660659832.812772,241480.000,23423,2,MX,1,100,-14
1660659832.851371,241517.667,23439,3,MX,1,100,-14
1660659832.889971,241555.333,23439,3,MX,1,100,-14
1660659832.928571,241593.000,23439,3,MX,1,100,-14
1660659832.967512,241631.000,23462,3,MX,1,100,-14
1660659833.006453,241669.000,23462,3,MX,1,100,-14
1660659833.045394,241707.000,23462,3,MX,1,100,-14
1660659833.089801,241750.333,23478,3,MX,1,100,-14
1660659833.134208,241793.667,23478,3,MX,1,100,-12
1660659833.178615,241837.000,23478,3,MX,1,100,-15
1660659833.217214,241874.667,23495,3,MX,1,100,-14
1660659833.255814,241912.333,23495,3,MX,1,100,-15
1660659833.294414,241950.000,23495,3,MX,1,100,-13
1660659833.336942,241991.500,23512,2,MX,1,100,-15
1660659833.379470,242033.000,23512,2,MX,1,100,-13
1660659833.417728,242070.333,23527,3,MX,1,100,-14
1660659833.455986,242107.667,23527,3,MX,1,100,-16
1660659833.494244,242145.000,23527,3,MX,1,100,-14
1660659833.535235,242185.000,23543,2,MX,1,100,-14
1660659833.576226,242225.000,23543,2,MX,1,100,-14
1660659833.615509,242263.333,23561,3,MX,1,100,-15
1660659833.654791,242301.667,23561,3,MX,1,100,-15
1660659833.694074,242340.000,23561,3,MX,1,100,-15
1660659833.732674,242377.667,23580,3,MX,1,100,-15
1660659833.771274,242415.333,23580,3,MX,1,100,-15
1660659833.809873,242453.000,23580,3,MX,1,100,-14
1660659833.851889,242494.000,23596,2,MX,1,100,-14
1660659833.893904,242535.000,23596,2,MX,1,100,-14
1660659833.933187,242573.333,23611,3,MX,1,100,-15
1660659833.972470,242611.667,23611,3,MX,1,100,-13
1660659834.011753,242650.000,23611,3,MX,1,100,-15
1660659834.053256,242690.500,23629,2,MX,1,100,-15
1660659834.094759,242731.000,23629,2,MX,1,100,-15
1660659834.133359,242768.667,23645,3,MX,1,100,-17
1660659834.171959,242806.333,23645,3,MX,1,100,-16
1660659834.210559,242844.000,23645,3,MX,1,100,-16
1660659834.253087,242885.500,23662,2,MX,1,100,-16
1660659834.295614,242927.000,23662,2,MX,1,100,-16
1660659834.334214,242964.667,23677,3,MX,1,100,-17
1660659834.372814,243002.333,23677,3,MX,1,100,-18
1660659834.411414,243040.000,23677,3,MX,1,100,-17
1660659834.452404,243080.000,23694,2,MX,1,100,-17
1660659834.493395,243120.000,23694,2,MX,1,100,-18
1660659834.532336,243158.000,23710,3,MX,1,100,-17
1660659834.571278,243196.000,23710,3,MX,1,100,-16
1660659834.610219,243234.000,23710,3,MX,1,100,-16
1660659834.654284,243277.000,23728,3,MX,1,100,-17
1660659834.698349,243320.000,23728,3,MX,1,100,-17
1660659834.742414,243363.000,23728,3,MX,1,100,-16
1660659834.783918,243403.500,23744,2,MX,1,100,-16
1660659834.825421,243444.000,23744,2,MX,1,100,-14
1660659834.864704,243482.333,23760,3,MX,1,100,-16
1660659834.903987,243520.667,23760,3,MX,1,100,-15
1660659834.943270,243559.000,23760,3,MX,1,100,-14
1660659834.984773,243599.500,23777,2,MX,1,100,-15
