RD,TS_received,TS_sent,AK,RoundTrip,
2890840,2890867,2022-08-16_12-42-36-779391,2890870,27,
2895987,2896010,2022-08-16_12-42-42-056736,2896013,23,
2901094,2901121,2022-08-16_12-42-47-297028,2901124,27,
2906203,2906227,2022-08-16_12-42-52-534847,2906230,24,
2911311,2911349,2022-08-16_12-42-57-779993,2911352,38,
2916418,2916445,2022-08-16_12-43-03-013441,2916449,27,
2921579,2921603,2022-08-16_12-43-08-305133,2921606,24,
2926691,2926715,2022-08-16_12-43-13-545362,2926719,24,
2931845,2931868,2022-08-16_12-43-18-830403,2931872,23,
2936955,2936979,2022-08-16_12-43-24-072866,2936983,24,
2942080,2942103,2022-08-16_12-43-29-328662,2942106,23,
2947198,2947223,2022-08-16_12-43-34-575457,2947228,25,
2952305,2952330,2022-08-16_12-43-39-813822,2952334,25,
2957400,2957425,2022-08-16_12-43-45-038244,2957428,25,
2962572,2962598,2022-08-16_12-43-50-343060,2962601,26,
2967674,2967793,2022-08-16_12-43-55-668284,2972778,119,
2972792,2972816,2022-08-16_12-44-00-822335,2972819,24,
2977888,2977972,2022-08-16_12-44-06-110386,2977975,84,
2983054,2983078,2022-08-16_12-44-11-346960,2983081,24,
2988175,2988198,2022-08-16_12-44-16-596978,2988202,23,
2993301,2993371,2022-08-16_12-44-21-882669,2993374,70,
2998424,2998450,2022-08-16_12-44-27-112643,2998453,26,
3003571,3003596,2022-08-16_12-44-32-386712,3003599,25,
3008679,3008703,2022-08-16_12-44-37-623752,3008706,24,
3013796,3018896,2022-08-16_12-44-42-978129,3018913,5100,
3018936,3019014,2022-08-16_12-44-48-198182,3019017,78,
3024003,3024028,2022-08-16_12-44-53-343158,3024031,25,
3029120,3029173,2022-08-16_12-44-58-600675,3029176,53,
3034243,3034292,2022-08-16_12-45-03-864971,3034295,49,
3039387,3039413,2022-08-16_12-45-09-125127,3039417,26,
3044504,3044531,2022-08-16_12-45-14-370639,3044534,27,
3049620,3049659,2022-08-16_12-45-19-635095,3049662,39,
3054727,3054751,2022-08-16_12-45-24-859643,3054754,24,
3059829,3059854,2022-08-16_12-45-30-095382,3059857,25,
3064936,3064961,2022-08-16_12-45-35-327725,3064966,25,
3070085,3070115,2022-08-16_12-45-40-610405,3070119,30,
3075200,3075238,2022-08-16_12-45-45-872759,3075241,38,
3080302,3080327,2022-08-16_12-45-51-088537,3080330,25,
3085422,3085501,2022-08-16_12-45-56-392323,3085505,79,
3090555,3090599,2022-08-16_12-46-01-620870,3090604,44,
3095660,3095687,2022-08-16_12-46-06-842557,3095690,27,
3100764,3100881,2022-08-16_12-46-12-166295,3105874,117,
3105897,3105966,2022-08-16_12-46-17-382006,3105969,69,
3111010,3111033,2022-08-16_12-46-22-579975,3111037,23,
3116127,3116156,2022-08-16_12-46-27-833233,3116159,29,
3121233,3121255,2022-08-16_12-46-33-060860,3121259,22,
3126340,3126380,2022-08-16_12-46-38-312135,3126383,40,
3131443,3131466,2022-08-16_12-46-43-534152,3131470,23,
3136584,3136630,2022-08-16_12-46-48-826328,3136633,46,
3141729,3141753,2022-08-16_12-46-54-079391,3141757,24,
3146872,3146922,2022-08-16_12-46-59-376159,3146925,50,
3151981,3152009,2022-08-16_12-47-04-597904,3152012,28,
3157081,3157104,2022-08-16_12-47-09-823477,3157107,23,
3162234,3167337,2022-08-16_12-47-15-271616,3167342,5103,
3167342,3167387,2022-08-16_12-47-20-369726,3167392,45,
3172450,3172478,2022-08-16_12-47-25-590958,3172481,28,
3177594,3177618,2022-08-16_12-47-30-860947,3177621,24,
3182750,3187869,2022-08-16_12-47-36-339775,3187872,5119,
3187872,3187897,2022-08-16_12-47-41-405780,3187900,25,
3193025,3193050,2022-08-16_12-47-46-689291,3193053,25,
3198186,3198250,2022-08-16_12-47-52-009269,3198253,64,
3203331,3203354,2022-08-16_12-47-57-257270,3203358,23,
3208449,3208493,2022-08-16_12-48-02-526534,3208496,44,
3213602,3213629,2022-08-16_12-48-07-789789,3213632,27,
3218758,3218811,2022-08-16_12-48-13-104148,3218815,53,
3223863,3223900,2022-08-16_12-48-18-323866,3223906,37,
