LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1660669311.558108,4016984,50923,1,SA,1,100,0.000022
1660669316.813608,4022109,51721,1,SA,1,100,0.000004
1660669317.284296,4022568,51819,1,SA,1,100,0.000019
1660669340.179820,4044895,55405,1,SA,1,100,0.000015
1660669340.979682,4045675,55521,1,SA,1,100,0.000009
1660669345.039492,4049634,56141,1,SA,1,100,0.000011
1660669346.106999,4050675,56324,1,SA,1,100,0.000008
1660669346.440275,4051000,56376,1,SA,1,100,0.000009
1660669346.705870,4051259,56413,1,SA,1,100,0.000005
1660669352.697654,4057102,57399,1,SA,1,100,0.000021
1660669358.686360,4062942,58330,1,SA,1,100,0.000006
1660669359.158074,4063402,58399,1,SA,1,100,0.000001
1660669362.082696,4066254,58852,1,SA,1,100,0.000044
1660669362.550307,4066710,58922,1,SA,1,100,0.000008
1660669364.344868,4068460,59219,1,SA,1,100,0.000004
1660669368.939970,4072941,59939,1,SA,1,100,0.000001
1660669369.137885,4073134,59989,1,SA,1,100,0.000029
1660669372.335280,4076252,60479,1,SA,1,100,0.000014
1660669373.066436,4076965,60615,1,SA,1,100,0.000013
1660669382.654520,4086315,62132,1,SA,1,100,0.000006
1660669385.918570,4089498,62630,1,SA,1,100,0.000009
1660669389.977355,4093456,63281,1,SA,1,100,0.000020
1660669391.441716,4094884,63500,1,SA,1,100,0.000001
1660669391.644758,4095082,63535,1,SA,1,100,0.000035
1660669398.565612,4101831,64626,1,SA,1,100,0.000002
1660669398.765577,4102026,64662,1,SA,1,100,0.000008
1660669403.761635,4106898,65453,1,SA,1,100,0.000007
1660669406.355033,4109427,349,1,SA,1,100,0.000007
1660669410.548153,4113516,1005,1,SA,1,100,0.000010
1660669415.010970,4117868,1707,1,SA,1,100,0.000001
1660669418.201187,4120979,2247,1,SA,1,100,0.000012
1660669419.600945,4122344,2481,1,SA,1,100,0.000044
1660669419.933195,4122668,2514,1,SA,1,100,0.000020
1660669422.530694,4125201,2931,1,SA,1,100,0.000005
1660669423.597176,4126241,3105,1,SA,1,100,0.000032
1660669425.059487,4127667,3324,1,SA,1,100,0.000029
1660669428.055892,4130589,3788,1,SA,1,100,0.000004
1660669429.321314,4131823,4012,1,SA,1,100,0.000017
1660669432.517684,4134940,4525,1,SA,1,100,0.000003
1660669439.835391,4142076,5678,1,SA,1,100,0.000000
1660669441.632004,4143828,5962,1,SA,1,100,0.000012
1660669441.832994,4144024,5996,1,SA,1,100,0.000007
1660669443.232752,4145389,6215,1,SA,1,100,0.000003
1660669446.959286,4149023,6818,1,SA,1,100,0.000012
1660669450.287941,4152269,7355,1,SA,1,100,0.000030
1660669454.412355,4156291,8001,1,SA,1,100,0.000020
1660669457.075484,4158888,8423,1,SA,1,100,0.000018
1660669466.461552,4168041,9894,1,SA,1,100,0.000005
1660669468.521708,4170050,10244,1,SA,1,100,0.000008
1660669478.710714,4179986,11846,1,SA,1,100,0.000019
1660669478.910679,4180181,11881,1,SA,1,100,0.000018
1660669479.112695,4180378,11915,1,SA,1,100,0.000018
1660669482.901783,4184073,12521,1,SA,1,100,0.000003
1660669488.031152,4189075,13354,1,SA,1,100,0.000008
1660669495.687263,4196541,14570,1,SA,1,100,0.000013
1660669498.279634,4199069,14945,1,SA,1,100,0.000004
1660669502.478907,4203164,15614,1,SA,1,100,0.000018
1660669519.053474,4219327,18231,1,SA,1,100,0.000002
1660669527.372035,4227439,19550,1,SA,1,100,0.000014
1660669558.860943,4258146,24582,1,SA,1,100,0.000021
1660669584.022742,4282683,28505,1,SA,1,100,0.000010
1660669594.206620,4292614,30122,1,SA,1,100,0.000003
1660669602.194981,4300404,31406,1,SA,1,100,0.000033
1660669604.724799,4302871,31791,1,SA,1,100,0.000001
1660669606.856738,4304950,32126,1,SA,1,100,0.000003
1660669627.022478,4324615,35254,1,SA,1,100,0.000005
1660669629.287727,4326824,35611,1,SA,1,100,0.000025
1660669631.949831,4329420,36061,1,SA,1,100,0.000017
1660669633.416244,4330850,36267,1,SA,1,100,0.000003
1660669636.609537,4333964,36800,1,SA,1,100,0.000003
1660669638.272839,4335586,37035,1,SA,1,100,0.000005
1660669640.602692,4337858,37388,1,SA,1,100,0.000019
1660669642.600295,4339806,37722,1,SA,1,100,0.000004
1660669643.200191,4340391,37824,1,SA,1,100,0.000017
1660669646.595501,4343702,38349,1,SA,1,100,0.000005
1660669650.853225,4347854,39036,1,SA,1,100,0.000018
1660669652.717518,4349672,39337,1,SA,1,100,0.000007
1660669660.905844,4357657,40644,1,SA,1,100,0.000046
1660669661.570345,4358305,40727,1,SA,1,100,0.000020
1660669661.770310,4358500,40780,1,SA,1,100,0.000015
1660669665.900877,4362528,41432,1,SA,1,100,0.000005
1660669666.365412,4362981,41500,1,SA,1,100,0.000002
1660669671.424024,4367914,42338,1,SA,1,100,0.000125
1660669679.612350,4375899,43587,1,SA,1,100,0.000004
1660669688.529781,4384595,45006,1,SA,1,100,0.000006
1660669689.528582,4385569,45158,1,SA,1,100,0.000017
1660669689.861858,4385894,45227,1,SA,1,100,0.000033
1660669693.257168,4389205,45761,1,SA,1,100,0.000026
1660669697.717934,4393555,46460,1,SA,1,100,0.000018
1660669711.964699,4407448,48709,1,SA,1,100,0.000007
1660669712.431285,4407903,48768,1,SA,1,100,0.000022
1660669717.287880,4412639,49533,1,SA,1,100,0.000025
1660669730.467137,4425491,51618,1,SA,1,100,0.000022
1660669735.461145,4430361,52407,1,SA,1,100,0.000006
1660669735.660085,4430555,52441,1,SA,1,100,0.000005
1660669735.857999,4430748,52493,1,SA,1,100,0.000009
1660669738.921059,4433735,52965,1,SA,1,100,0.000017
1660669743.914041,4438604,53757,1,SA,1,100,0.000006
1660669744.314997,4438995,53815,1,SA,1,100,0.000001
1660669745.313798,4439969,53984,1,SA,1,100,0.000032
1660669750.174495,4444709,54734,1,SA,1,100,0.000031
1660669750.375486,4444905,54770,1,SA,1,100,0.000002
1660669750.574426,4445099,54806,1,SA,1,100,0.000027
1660669758.428451,4452758,56051,1,SA,1,100,0.000000
1660669759.426227,4453731,56217,1,SA,1,100,0.000040
1660669761.825812,4456071,56606,1,SA,1,100,0.000056
1660669763.888019,4458082,56923,1,SA,1,100,0.000027
1660669764.354605,4458537,57007,1,SA,1,100,0.000028
1660669767.216674,4461328,57447,1,SA,1,100,0.000014
1660669770.611984,4464639,57997,1,SA,1,100,0.000009
1660669772.077371,4466068,58214,1,SA,1,100,0.000016
1660669774.339544,4468274,58582,1,SA,1,100,0.000014
1660669774.739474,4468664,58634,1,SA,1,100,0.000000
1660669774.938414,4468858,58669,1,SA,1,100,0.000026
1660669781.132214,4474898,59650,1,SA,1,100,0.000004
1660669781.330128,4475091,59702,1,SA,1,100,0.000008
1660669784.789017,4478464,60233,1,SA,1,100,0.000002
1660669785.526325,4479183,60385,1,SA,1,100,0.000032
1660669789.182103,4482748,60938,1,SA,1,100,0.000016
1660669789.382068,4482943,60973,1,SA,1,100,0.000019
1660669791.507854,4485016,61297,1,SA,1,100,0.000001
1660669791.978542,4485475,61381,1,SA,1,100,0.000008
1660669795.171835,4488589,61877,1,SA,1,100,0.000015
1660669801.360507,4494624,62860,1,SA,1,100,0.000040
1660669801.630204,4494887,62894,1,SA,1,100,0.000049
1660669803.425791,4496638,63171,1,SA,1,100,0.000025
1660669803.625757,4496833,63205,1,SA,1,100,0.000038
