LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1659621765.721046,73310.000,2982,1,EA,1,100,0.030428
1659621765.787181,73374.500,3000,2,EA,1,100,0.030428
1659621765.853316,73439.000,3000,2,EA,1,100,0.030428
1659621765.919451,73503.500,3015,2,EA,1,100,0.030428
1659621765.985586,73568.000,3015,2,EA,1,100,0.030428
1659621766.053260,73634.000,3032,1,EA,1,100,0.030428
1659621766.119907,73699.000,3049,2,EA,1,100,0.030428
1659621766.186555,73764.000,3049,2,EA,1,100,0.030428
1659621766.253203,73829.000,3066,1,EA,1,100,0.030428
1659621766.320363,73894.500,3081,2,EA,1,100,0.030428
1659621766.387524,73960.000,3081,2,EA,1,100,0.030428
1659621766.454172,74025.000,3097,1,EA,1,100,0.030428
1659621766.519794,74089.000,3114,2,EA,1,100,0.030428
1659621766.585416,74153.000,3114,2,EA,1,100,0.030428
1659621766.654115,74220.000,3131,1,EA,1,100,0.030428
1659621766.719737,74284.000,3147,2,EA,1,100,0.030428
1659621766.785360,74348.000,3147,2,EA,1,100,0.030428
1659621766.851495,74412.500,3163,2,EA,1,100,0.030428
1659621766.917630,74477.000,3163,2,EA,1,100,0.030428
1659621766.983252,74541.000,3180,1,EA,1,100,0.030428
1659621767.048875,74605.000,3197,2,EA,1,100,0.030428
1659621767.114497,74669.000,3197,2,EA,1,100,0.030428
1659621767.182170,74735.000,3214,1,EA,1,100,0.030428
1659621767.249843,74801.000,3231,2,EA,1,100,0.030428
1659621767.317517,74867.000,3231,2,EA,1,100,0.030428
1659621767.384164,74932.000,3247,1,EA,1,100,0.030428
1659621767.450812,74997.000,3265,2,EA,1,100,0.030428
1659621767.517460,75062.000,3265,2,EA,1,100,0.030428
1659621767.584108,75127.000,3281,2,EA,1,100,0.030428
1659621767.650755,75192.000,3281,2,EA,1,100,0.030428
1659621767.718429,75258.000,3298,1,EA,1,100,0.030428
1659621767.784564,75322.500,3315,2,EA,1,100,0.030428
1659621767.850699,75387.000,3315,2,EA,1,100,0.030428
1659621767.916321,75451.000,3331,1,EA,1,100,0.030428
1659621767.981944,75515.000,3347,2,EA,1,100,0.030428
1659621768.047566,75579.000,3347,2,EA,1,100,0.030428
