LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1658856776.871413,1691651.000,8186,1,B%,1,100,61
1658856777.871028,1692626.000,8351,1,B%,1,100,61
1658856778.867567,1693598.000,8498,1,B%,1,100,61
1658856779.865131,1694571.000,8663,1,B%,1,100,61
1658856780.863720,1695545.000,8817,1,B%,1,100,61
1658856781.862310,1696519.000,8981,1,B%,1,100,61
1658856782.859874,1697492.000,9146,1,B%,1,100,61
1658856783.857438,1698465.000,9296,1,B%,1,100,61
1658856784.855002,1699438.000,9463,1,B%,1,100,61
1658856785.853591,1700412.000,9635,1,B%,1,100,61
1658856786.849105,1701383.000,9772,1,B%,1,100,62
1658856787.851795,1702361.000,9920,1,B%,1,100,63
1658856788.849359,1703334.000,10085,1,B%,1,100,63
1658856789.847949,1704308.000,10233,1,B%,1,100,63
1658856790.844488,1705280.000,10399,1,B%,1,100,64
1658856791.842052,1706253.000,10552,1,B%,1,100,63
1658856792.840641,1707227.000,10717,1,B%,1,100,63
1658856793.840255,1708202.000,10882,1,B%,1,100,63
1658856794.837820,1709175.000,11031,1,B%,1,100,64
1658856795.838459,1710151.000,11196,1,B%,1,100,64
1658856796.837049,1711125.000,11349,1,B%,1,100,64
1658856797.836663,1712100.000,11514,1,B%,1,100,64
1658856798.831152,1713070.000,11665,1,B%,1,100,63
1658856799.829741,1714044.000,11830,1,B%,1,100,63
1658856800.828331,1715018.000,11980,1,B%,1,100,63
1658856801.826920,1715992.000,12154,1,B%,1,100,64
1658856802.823459,1716964.000,12309,1,B%,1,100,64
1658856803.821023,1717937.000,12473,1,B%,1,100,63
1658856804.817562,1718909.000,12639,1,B%,1,100,63
1658856805.817176,1719884.000,12787,1,B%,1,100,64
1658856806.813715,1720856.000,12952,1,B%,1,100,64
1658856807.816405,1721834.000,13091,1,B%,1,100,64
1658856808.813969,1722807.000,13256,1,B%,1,100,64
1658856809.811533,1723780.000,13421,1,B%,1,100,63
1658856810.809098,1724753.000,13569,1,B%,1,100,63
1658856811.806662,1725726.000,13734,1,B%,1,100,63
1658856812.805251,1726700.000,13888,1,B%,1,100,64
1658856813.803840,1727674.000,14057,1,B%,1,100,64
1658856814.801404,1728647.000,14207,1,B%,1,100,64
1658856815.801019,1729622.000,14372,1,B%,1,100,64
1658856816.800634,1730597.000,14520,1,B%,1,100,64
1658856817.799223,1731571.000,14691,1,B%,1,100,64
1658856818.793711,1732541.000,14839,1,B%,1,100,64
1658856819.792301,1733515.000,15002,1,B%,1,100,63
1658856820.790890,1734489.000,15167,1,B%,1,100,63
1658856821.789479,1735463.000,15320,1,B%,1,100,64
1658856822.786018,1736435.000,15492,1,B%,1,100,64
1658856823.784608,1737409.000,15640,1,B%,1,100,64
1658856824.781147,1738381.000,15805,1,B%,1,100,63
1658856825.781786,1739357.000,15953,1,B%,1,100,63
1658856826.779350,1740330.000,16119,1,B%,1,100,63
1658856827.782041,1741308.000,16284,1,B%,1,100,64
1658856828.779605,1742281.000,16437,1,B%,1,100,64
1658856829.776144,1743253.000,16602,1,B%,1,100,64
1658856830.772682,1744225.000,16751,1,B%,1,100,64
1658856831.772297,1745200.000,16922,1,B%,1,100,63
1658856832.770886,1746174.000,17072,1,B%,1,100,63
1658856833.769476,1747148.000,17242,1,B%,1,100,63
1658856834.766015,1748120.000,17391,1,B%,1,100,63
1658856835.767680,1749097.000,17556,1,B%,1,100,64
1658856836.765244,1750070.000,17703,1,B%,1,100,63
1658856837.763833,1751044.000,17867,1,B%,1,100,62
1658856838.759347,1752015.000,18022,1,B%,1,100,61
1658856839.758961,1752990.000,18186,1,B%,1,100,61
1658856840.757550,1753964.000,18351,1,B%,1,100,61
1658856841.756140,1754938.000,18499,1,B%,1,100,61
1658856842.753704,1755911.000,18664,1,B%,1,100,61
1658856843.752293,1756885.000,18834,1,B%,1,100,61
1658856844.748832,1757857.000,18983,1,B%,1,100,61
1658856845.749472,1758833.000,19131,1,B%,1,100,61
1658856846.747036,1759806.000,19296,1,B%,1,100,61
1658856847.749727,1760784.000,19461,1,B%,1,100,61
1658856848.747291,1761757.000,19610,1,B%,1,100,60
1658856849.743829,1762729.000,19762,1,B%,1,100,60
1658856850.741394,1763702.000,19927,1,B%,1,100,60
1658856851.741008,1764677.000,20075,1,B%,1,100,60
1658856852.739597,1765651.000,20240,1,B%,1,100,61
1658856853.736136,1766623.000,20388,1,B%,1,100,60
