LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1658874908.758323,216807.000,33131,1,TH,1,100,30.705
1658874908.860843,216907.000,33147,1,TH,1,100,30.705
1658874908.971565,217015.000,33163,1,TH,1,100,30.646
1658874909.172504,217211.000,33197,1,TH,1,100,30.653
1658874909.275024,217311.000,33213,1,TH,1,100,30.676
1658874909.378569,217412.000,33231,1,TH,1,100,30.668
1658874909.591811,217620.000,33262,1,TH,1,100,30.651
1658874909.683566,217709.500,33284,2,TH,1,100,30.658
1658874909.775322,217799.000,33284,2,TH,1,100,30.754
1658874909.973185,217992.000,33316,1,TH,1,100,30.754
1658874910.075705,218092.000,33335,1,TH,1,100,30.696
1658874910.179250,218193.000,33351,1,TH,1,100,30.696
1658874910.386341,218395.000,33383,1,TH,1,100,30.711
1658874910.489886,218496.000,33400,1,TH,1,100,30.711
1658874910.593431,218597.000,33416,1,TH,1,100,30.665
1658874910.701077,218702.000,33433,1,TH,1,100,30.673
1658874910.905092,218901.000,33465,1,TH,1,100,30.746
1658874911.007612,219001.000,33482,1,TH,1,100,30.746
1658874911.111157,219102.000,33500,1,TH,1,100,30.662
1658874911.318248,219304.000,33531,1,TH,1,100,30.662
1658874911.422818,219406.000,33548,1,TH,1,100,30.725
1658874911.526363,219507.000,33565,1,TH,1,100,30.725
1658874911.635034,219613.000,33580,1,TH,1,100,30.695
1658874911.836999,219810.000,33613,1,TH,1,100,30.702
1658874911.940544,219911.000,33630,1,TH,1,100,30.679
1658874912.044089,220012.000,33647,1,TH,1,100,30.679
1658874912.252205,220215.000,33679,1,TH,1,100,30.745
1658874912.355750,220316.000,33697,1,TH,1,100,30.745
1658874912.458270,220416.000,33713,1,TH,1,100,30.740
1658874912.565916,220521.000,33729,1,TH,1,100,30.740
1658874912.769931,220720.000,33762,1,TH,1,100,30.716
1658874912.872451,220820.000,33778,1,TH,1,100,30.724
1658874912.975996,220921.000,33795,1,TH,1,100,30.779
1658874913.188212,221128.000,33828,1,TH,1,100,30.779
1658874913.291757,221229.000,33844,1,TH,1,100,30.751
1658874913.395303,221330.000,33862,1,TH,1,100,30.751
1658874913.499873,221432.000,33878,1,TH,1,100,30.703
1658874913.705938,221633.000,33910,1,TH,1,100,30.703
1658874913.810508,221735.000,33927,1,TH,1,100,30.675
1658874913.913028,221835.000,33943,1,TH,1,100,30.675
1658874914.120119,222037.000,33976,1,TH,1,100,30.700
1658874914.223664,222138.000,33993,1,TH,1,100,30.707
1658874914.344637,222256.000,34010,1,TH,1,100,30.718
1658874914.449208,222358.000,34027,1,TH,1,100,30.718
1658874914.655273,222559.000,34059,1,TH,1,100,30.694
1658874914.758818,222660.000,34075,1,TH,1,100,30.694
1658874914.862363,222761.000,34092,1,TH,1,100,30.710
1658874915.064328,222958.000,34115,1,TH,1,100,30.710
1658874915.174024,223065.000,34132,1,TH,1,100,30.753
1658874915.277569,223166.000,34149,1,TH,1,100,30.760
1658874915.381114,223267.000,34166,1,TH,1,100,30.722
1658874915.493886,223377.000,34182,1,TH,1,100,30.722
1658874915.691750,223570.000,34215,1,TH,1,100,30.739
1658874915.795295,223671.000,34231,1,TH,1,100,30.739
1658874915.898840,223772.000,34248,1,TH,1,100,30.719
1658874916.105931,223974.000,34281,1,TH,1,100,30.719
1658874916.210501,224076.000,34297,1,TH,1,100,30.736
1658874916.313021,224176.000,34315,1,TH,1,100,30.736
1658874916.424768,224285.000,34330,1,TH,1,100,30.719
1658874916.623657,224479.000,34362,1,TH,1,100,30.726
1658874916.727202,224580.000,34380,1,TH,1,100,30.799
1658874916.836898,224687.000,34396,1,TH,1,100,30.799
1658874917.043989,224889.000,34428,1,TH,1,100,30.814
1658874917.148559,224991.000,34446,1,TH,1,100,30.814
1658874917.251079,225091.000,34462,1,TH,1,100,30.806
