LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1658875071.179711,375236,58582,1,HR,1,100,65
1658875071.895300,375934,58701,1,HR,1,100,68
1658875072.701107,376720,58824,1,HR,1,100,68
1658875073.436176,377437,58943,1,HR,1,100,70
1658875074.233781,378215,59063,1,HR,1,100,71
1658875074.923741,378888,59180,1,HR,1,100,73
1658875075.599347,379547,59281,1,HR,1,100,75
1658875076.448213,380375,59436,1,HR,1,100,74
1658875077.896820,381788,59674,1,HR,1,100,70
1658875081.531154,385333,60239,1,HR,1,100,64
1658875083.014618,386780,60478,1,HR,1,100,61
1658875085.148059,388861,60814,1,HR,1,100,57
1658875088.210331,391848,61321,1,HR,1,100,53
1658875091.430483,394989,61838,1,HR,1,100,49
1658875096.683607,400113,62655,1,HR,1,100,45
1658875101.515374,404826,63411,1,HR,1,100,41
1658875103.122888,406394,63660,1,HR,1,100,40
1658875104.129634,407376,63827,1,HR,1,100,43
1658875105.135355,408357,63983,1,HR,1,100,45
1658875106.226168,409421,64150,1,HR,1,100,46
1658875107.020698,410196,64284,1,HR,1,100,49
1658875109.209499,412331,64622,1,HR,1,100,47
1658875112.305603,415351,65119,1,HR,1,100,44
1658875112.954554,415984,65237,1,HR,1,100,50
1658875115.124902,418101,45,1,HR,1,100,47
1658875117.182478,420108,383,1,HR,1,100,45
1658875118.029294,420934,517,1,HR,1,100,48
1658875119.477901,422347,749,1,HR,1,100,47
1658875122.257218,425058,1189,1,HR,1,100,44
1658875124.351701,427101,1520,1,HR,1,100,42
1658875127.935800,430597,2089,1,HR,1,100,39
1658875128.694448,431337,2223,1,HR,1,100,44
1658875129.507431,432130,2341,1,HR,1,100,48
1658875130.313238,432916,2474,1,HR,1,100,51
1658875131.124171,433707,2613,1,HR,1,100,54
1658875132.736810,435280,2863,1,HR,1,100,52
1658875133.566197,436089,2997,1,HR,1,100,54
1658875134.979948,437468,3214,1,HR,1,100,53
1658875136.438807,438891,3452,1,HR,1,100,52
1658875138.659390,441057,3799,1,HR,1,100,49
1658875140.305861,442663,4065,1,HR,1,100,47
1658875144.367703,446625,4725,1,HR,1,100,43
1658875146.631344,448833,5076,1,HR,1,100,41
1658875148.236807,450399,5343,1,HR,1,100,41
1658875149.168714,451308,5494,1,HR,1,100,44
1658875150.133427,452249,5644,1,HR,1,100,46
1658875150.989469,453084,5778,1,HR,1,100,49
1658875151.797326,453872,5918,1,HR,1,100,52
1658875153.401764,455437,6168,1,HR,1,100,50
1658875154.250629,456265,6303,1,HR,1,100,53
1658875155.132301,457125,6453,1,HR,1,100,55
1658875156.103166,458072,6604,1,HR,1,100,56
1658875157.869585,459795,6888,1,HR,1,100,53
1658875161.015923,462864,7386,1,HR,1,100,49
1658875162.668545,464476,7657,1,HR,1,100,48
1658875163.667090,465450,7808,1,HR,1,100,49
1658875167.303474,468997,8393,1,HR,1,100,45
1658875170.357544,471976,8874,1,HR,1,100,42
1658875171.289451,472885,9024,1,HR,1,100,45
1658875172.105510,473681,9157,1,HR,1,100,48
1658875172.987182,474541,9280,1,HR,1,100,51
1658875180.150253,481528,10425,1,HR,1,100,46
1658875198.440844,499369,13327,1,HR,1,100,41
