LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1658874884.354466,193003.000,29392,2,EL,1,100,-16227.650391
1658874884.421104,193068.000,29392,2,EL,1,100,-16223.200195
1658874884.488255,193133.500,29407,2,EL,1,100,-16228.049805
1658874884.555405,193199.000,29407,2,EL,1,100,-16223.049805
1658874884.621531,193263.500,29424,2,EL,1,100,-16222.049805
1658874884.687656,193328.000,29424,2,EL,1,100,-16226.750000
1658874884.754294,193393.000,29441,1,EL,1,100,-16225.000000
1658874884.820932,193458.000,29457,2,EL,1,100,-16224.299805
1658874884.887570,193523.000,29457,2,EL,1,100,-16220.950195
1658874884.956259,193590.000,29474,1,EL,1,100,-16222.200195
1658874885.021871,193654.000,29492,3,EL,1,100,-16221.450195
1658874885.087484,193718.000,29492,3,EL,1,100,-16215.900391
1658874885.153097,193782.000,29492,3,EL,1,100,-16211.950195
1658874885.219222,193846.500,29509,2,EL,1,100,-16219.799805
1658874885.285348,193911.000,29509,2,EL,1,100,-16218.349609
1658874885.353011,193977.000,29526,1,EL,1,100,-16216.750000
1658874885.420674,194043.000,29541,2,EL,1,100,-16216.650391
1658874885.488337,194109.000,29541,2,EL,1,100,-16211.750000
1658874885.554975,194174.000,29557,1,EL,1,100,-16209.950195
1658874885.621272,194238.667,29575,3,EL,1,100,-16206.299805
1658874885.687568,194303.333,29575,3,EL,1,100,-16204.500000
1658874885.753864,194368.000,29575,3,EL,1,100,-16206.750000
1658874885.821527,194434.000,29591,1,EL,1,100,-16205.000000
1658874885.887140,194498.000,29608,2,EL,1,100,-16203.049805
1658874885.952753,194562.000,29608,2,EL,1,100,-16205.650391
1658874886.021441,194629.000,29625,1,EL,1,100,-16204.750000
1658874886.088079,194694.000,29643,2,EL,1,100,-16206.000000
1658874886.154717,194759.000,29643,2,EL,1,100,-16206.400391
1658874886.220843,194823.500,29659,2,EL,1,100,-16205.200195
1658874886.286968,194888.000,29659,2,EL,1,100,-16205.000000
1658874886.353606,194953.000,29677,2,EL,1,100,-16201.700195
