LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1660674047.189426,8634759.000,7614,2,AK,1,100,6786
1660674049.789322,8637293.000,7614,2,AK,1,100,RD
1660674049.804712,8637308.000,7617,2,AK,1,100,7615
1660674049.820102,8637323.000,7617,2,AK,1,100,RD
1660674052.425128,8639862.000,8444,2,AK,1,100,7615
1660674055.030154,8642401.000,8444,2,AK,1,100,RD
1660674055.045032,8642415.500,8447,2,AK,1,100,8445
1660674055.059909,8642430.000,8447,2,AK,1,100,RD
1660674057.666474,8644970.500,9279,2,AK,1,100,8445
1660674060.273039,8647511.000,9279,2,AK,1,100,RD
1660674060.293046,8647530.500,9282,2,AK,1,100,9280
1660674060.313053,8647550.000,9282,2,AK,1,100,RD
1660674062.927313,8650098.000,10114,2,AK,1,100,9280
1660674065.541573,8652646.000,10114,2,AK,1,100,RD
1660674065.555424,8652659.500,10117,2,AK,1,100,10115
1660674065.569275,8652673.000,10117,2,AK,1,100,RD
1660674068.176353,8655214.000,10947,2,AK,1,100,10115
1660674070.783431,8657755.000,10947,2,AK,1,100,RD
1660674070.796769,8657768.000,10950,2,AK,1,100,10948
1660674070.810107,8657781.000,10950,2,AK,1,100,RD
1660674073.417698,8660322.500,11775,2,AK,1,100,10948
1660674076.025290,8662864.000,11775,2,AK,1,100,RD
1660674076.039654,8662878.000,11778,2,AK,1,100,11776
1660674076.054018,8662892.000,11778,2,AK,1,100,RD
1660674078.660070,8665432.000,12607,2,AK,1,100,11776
1660674081.266122,8667972.000,12607,2,AK,1,100,RD
1660674081.281512,8667987.000,12610,2,AK,1,100,12608
1660674081.296902,8668002.000,12610,2,AK,1,100,RD
1660674083.920396,8670559.000,13451,2,AK,1,100,12608
1660674086.543890,8673116.000,13451,2,AK,1,100,RD
1660674086.571592,8673143.000,13454,2,AK,1,100,13452
1660674086.599294,8673170.000,13454,2,AK,1,100,RD
1660674089.194573,8675699.500,14289,2,AK,1,100,13452
1660674091.789852,8678229.000,14289,2,AK,1,100,RD
1660674091.805243,8678244.000,14292,2,AK,1,100,14290
1660674091.820632,8678259.000,14292,2,AK,1,100,RD
1660674094.423094,8680795.500,15106,2,AK,1,100,14290
1660674097.025555,8683332.000,15106,2,AK,1,100,RD
1660674097.040432,8683346.500,15109,2,AK,1,100,15107
1660674097.055309,8683361.000,15109,2,AK,1,100,RD
1660674099.660848,8685900.500,15923,2,AK,1,100,15107
1660674102.266387,8688440.000,15923,2,AK,1,100,RD
1660674102.283316,8688456.500,15926,2,AK,1,100,15924
1660674102.300245,8688473.000,15926,2,AK,1,100,RD
1660674104.902706,8691009.500,16760,2,AK,1,100,15924
1660674107.505167,8693546.000,16760,2,AK,1,100,RD
1660674107.520044,8693560.500,16763,2,AK,1,100,16761
