LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1660673849.871272,8442442.000,41695,1,TL,1,100,2022-08-16_14-17-29-864886
1660673855.123390,8447561.000,42521,1,TL,1,100,2022-08-16_14-17-30-024803
1660673855.155197,8447592.000,42524,1,TL,1,100,2022-08-16_14-17-35-144277
1660673860.395003,8452699.000,43353,1,TL,1,100,2022-08-16_14-17-35-294573
1660673860.424757,8452728.000,43356,1,TL,1,100,2022-08-16_14-17-40-419675
1660673865.677901,8457848.000,44184,1,TL,1,100,2022-08-16_14-17-40-575645
1660673865.707655,8457877.000,44187,1,TL,1,100,2022-08-16_14-17-45-701449
1660673870.945410,8462982.000,45019,1,TL,1,100,2022-08-16_14-17-45-854047
1660673870.973112,8463009.000,45022,1,TL,1,100,2022-08-16_14-17-50-962095
1660673876.234464,8468137.000,45851,1,TL,1,100,2022-08-16_14-17-51-114997
1660673876.264218,8468166.000,45854,1,TL,1,100,2022-08-16_14-17-56-252801
1660673881.504025,8473273.000,46683,1,TL,1,100,2022-08-16_14-17-56-413254
1660673881.535830,8473304.000,46686,1,TL,1,100,2022-08-16_14-18-01-525325
1660673886.755117,8478391.000,47500,1,TL,1,100,2022-08-16_14-18-01-678218
1660673886.785897,8478421.000,47503,1,TL,1,100,2022-08-16_14-18-06-775680
1660673891.990819,8483494.000,48315,1,TL,1,100,2022-08-16_14-18-06-975534
1660673892.018521,8483521.000,48318,1,TL,1,100,2022-08-16_14-18-12-007077
1660673897.230625,8488601.000,49131,1,TL,1,100,2022-08-16_14-18-12-197886
1660673902.512498,8493749.000,49959,1,TL,1,100,2022-08-16_14-18-17-365456
1660673902.540200,8493776.000,49961,1,TL,1,100,2022-08-16_14-18-17-423052
1660673913.034176,8504004.000,51607,1,TL,1,100,2022-08-16_14-18-27-844808
1660673913.069060,8504038.000,51609,1,TL,1,100,2022-08-16_14-18-27-963279
1660673913.117283,8504085.000,51612,1,TL,1,100,2022-08-16_14-18-33-102200
1660673918.298606,8509135.000,52429,1,TL,1,100,2022-08-16_14-18-33-308263
1660673918.338621,8509174.000,52432,1,TL,1,100,2022-08-16_14-18-38-325570
1660673923.530205,8514234.000,53246,1,TL,1,100,2022-08-16_14-18-38-511914
1660673923.605103,8514307.000,53249,1,TL,1,100,2022-08-16_14-18-43-588267
