left eye 1,left eye 2,right eye 1,right eye 2,current time
0.381470859,0.717612386,0.392859519,0.713493347,08:54.9
0.378537983,0.708595693,0.390305489,0.708702564,08:54.9
0.38089937,0.706534684,0.388261378,0.711002946,08:55.0
0.38469252,0.712318063,0.389406502,0.713896871,08:55.0
0.381111801,0.707005024,0.392173886,0.706607223,08:55.1
0.374066591,0.699654758,0.394418448,0.701751769,08:55.1
0.374147773,0.697924078,0.394614547,0.70854032,08:55.1
0.376902074,0.707725167,0.39548403,0.708719075,08:55.2
0.378968805,0.709722221,0.395370066,0.703492045,08:55.2
0.381077141,0.710778475,0.396805674,0.703915119,08:55.3
0.379082799,0.709672868,0.396252364,0.7027089,08:55.3
0.380880564,0.705879807,0.396025956,0.704545796,08:55.4
0.381649345,0.704829097,0.399095595,0.705213785,08:55.4
0.386793464,0.698033333,0.399871111,0.702766418,08:55.5
0.385100365,0.702757597,0.397427201,0.700816393,08:55.5
0.348179728,0.673541307,0.369656146,0.695073366,08:55.6
0.337735504,0.664479792,0.351241738,0.683840811,08:55.6
0.340010881,0.684036434,0.357634723,0.679278374,08:55.7
0.336843401,0.680978119,0.359504998,0.67633605,08:55.7
0.343690187,0.682236791,0.360609591,0.675439715,08:55.7
0.34199965,0.679312527,0.360509813,0.676214039,08:55.8
0.338381588,0.681823313,0.354809642,0.684505939,08:55.8
0.341411084,0.678433239,0.353678226,0.684671104,08:55.9
0.347142607,0.675913215,0.359366328,0.675779343,08:55.9
0.346234828,0.67826122,0.362296581,0.67569381,08:56.0
0.344944417,0.682259917,0.359823197,0.673404515,08:56.0
0.347039044,0.680773795,0.356994838,0.671314657,08:56.1
0.344266146,0.681445718,0.35978815,0.677887619,08:56.1
0.342688471,0.680544019,0.362968296,0.683311641,08:56.2
0.345202059,0.677013934,0.360450655,0.67442584,08:56.2
0.347196966,0.670462787,0.35795933,0.676844478,08:56.3
0.34881264,0.674106538,0.355495125,0.679268539,08:56.3
0.349309802,0.680060327,0.354729921,0.679323077,08:56.3
0.347165257,0.671187103,0.353481084,0.678900301,08:56.4
0.34487164,0.675034463,0.356016308,0.676194072,08:56.5
0.338682055,0.67555511,0.361205548,0.671597004,08:56.5
0.341450274,0.676925063,0.360116422,0.676590025,08:56.6
0.353778273,0.684643328,0.357579142,0.683184385,08:56.6
0.35148114,0.679366052,0.355122924,0.678017437,08:56.7
0.344242573,0.669923425,0.356454313,0.675314307,08:56.7
0.345321268,0.669001997,0.360238165,0.675613761,08:56.8
0.34971723,0.676483154,0.358944893,0.681411326,08:56.8
0.350860417,0.673088849,0.355661839,0.680201113,08:56.8
0.354298979,0.669167817,0.357320815,0.680296957,08:56.9
0.352045178,0.671274424,0.357037663,0.683139563,08:56.9
0.342255235,0.673503339,0.356043696,0.667876363,08:57.0
0.34179613,0.673294485,0.355564088,0.666426957,08:57.0
0.350220799,0.675849617,0.357101023,0.667642474,08:57.1
0.353020906,0.679453075,0.358878106,0.66656208,08:57.1
