LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1658842300.656113,1892449,42361,1,SR,1,100,0.400000
1658842301.191270,1892971,42413,1,SR,1,100,0.133333
1658842301.723352,1893490,42513,1,SR,1,100,0.200000
1658842302.188796,1893944,42582,1,SR,1,100,0.200000
1658842302.916692,1894654,42699,1,SR,1,100,0.133333
1658842303.453900,1895178,42784,1,SR,1,100,0.133333
1658842303.722504,1895440,42820,1,SR,1,100,0.066667
1658842304.052620,1895762,42887,1,SR,1,100,0.200000
1658842304.384787,1896086,42939,1,SR,1,100,0.133333
1658842304.655441,1896350,42974,1,SR,1,100,0.133333
1658842304.919944,1896608,43046,1,SR,1,100,0.333333
1658842305.651941,1897322,43132,1,SR,1,100,0.066667
1658842306.249636,1897905,43232,1,SR,1,100,0.200000
1658842306.582828,1898230,43317,1,SR,1,100,0.400000
1658842307.781294,1899399,43502,1,SR,1,100,0.266667
1658842308.579929,1900178,43652,1,SR,1,100,0.400000
1658842309.114062,1900699,43704,1,SR,1,100,0.200000
1658842309.446229,1901023,43773,1,SR,1,100,0.266667
1658842310.379166,1901933,43880,1,SR,1,100,0.133333
1658842310.778996,1902323,43965,1,SR,1,100,0.266667
1658842311.311078,1902842,44033,1,SR,1,100,0.133333
1658842311.710908,1903232,44116,1,SR,1,100,0.200000
1658842312.042050,1903555,44151,1,SR,1,100,0.066667
1658842312.242990,1903751,44187,1,SR,1,100,0.066667
1658842312.707408,1904204,44288,1,SR,1,100,0.266667
1658842313.374818,1904855,44390,1,SR,1,100,0.266667
1658842313.774648,1905245,44442,1,SR,1,100,0.133333
1658842314.305705,1905763,44578,1,SR,1,100,0.400000
1658842315.104340,1906542,44696,1,SR,1,100,0.400000
1658842316.168504,1907580,44822,1,SR,1,100,0.133333
1658842316.568334,1907970,44956,1,SR,1,100,0.533333
1658842317.233693,1908619,44991,1,SR,1,100,0.066667
1658842317.432583,1908813,45058,1,SR,1,100,0.333333
1658842318.164580,1909527,45176,1,SR,1,100,0.266667
1658842318.562360,1909915,45243,1,SR,1,100,0.266667
1658842319.363045,1910696,45362,1,SR,1,100,0.200000
1658842319.695212,1911020,45396,1,SR,1,100,0.066667
1658842319.894102,1911214,45415,1,SR,1,100,0.066667
1658842320.229345,1911541,45483,1,SR,1,100,0.066667
1658842320.426184,1911733,45536,1,SR,1,100,0.200000
1658842320.756300,1912055,45576,1,SR,1,100,0.066667
1658842321.225845,1912513,45712,1,SR,1,100,0.533333
1658842321.888128,1913159,45779,1,SR,1,100,0.266667
1658842322.288983,1913550,45815,1,SR,1,100,0.066667
1658842322.752376,1914002,45897,1,SR,1,100,0.133333
1658842323.420811,1914654,45999,1,SR,1,100,0.133333
1658842323.684289,1914911,46035,1,SR,1,100,0.066667
1658842324.018506,1915237,46086,1,SR,1,100,0.066667
1658842324.219446,1915433,46156,1,SR,1,100,0.200000
1658842324.685915,1915888,46223,1,SR,1,100,0.200000
1658842325.016031,1916210,46275,1,SR,1,100,0.133333
1658842325.683440,1916861,46417,1,SR,1,100,0.400000
1658842326.481050,1917639,46502,1,SR,1,100,0.200000
1658842327.345299,1918482,46637,1,SR,1,100,0.200000
1658842327.678491,1918807,46688,1,SR,1,100,0.133333
1658842328.079346,1919198,46758,1,SR,1,100,0.200000
1658842328.409463,1919520,46859,1,SR,1,100,0.466667
1658842329.276787,1920366,46944,1,SR,1,100,0.066667
1658842330.006734,1921078,47128,1,SR,1,100,0.533333
1658842331.340527,1922379,47269,1,SR,1,100,0.066667
1658842331.538391,1922572,47386,1,SR,1,100,0.600000
1658842332.933697,1923933,47570,1,SR,1,100,0.333333
1658842333.402216,1924390,47653,1,SR,1,100,0.400000
1658842334.198801,1925167,47757,1,SR,1,100,0.200000
1658842334.665269,1925622,47808,1,SR,1,100,0.066667
