LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1658841874.502606,1476773.000,40673,2,RD,1,100,TU
1658841877.132771,1479338.500,41501,2,RD,1,100,TL
1658841879.762937,1481904.000,41501,2,RD,1,100,TU
1658841882.389002,1484465.500,42315,2,RD,1,100,TL
1658841885.015067,1487027.000,42315,2,RD,1,100,TU
1658841887.640620,1489588.000,43145,2,RD,1,100,TL
1658841890.266172,1492149.000,43145,2,RD,1,100,TU
1658841892.888649,1494707.000,43958,2,RD,1,100,TL
1658841895.511126,1497265.000,43958,2,RD,1,100,TU
1658841898.130014,1499819.500,44772,2,RD,1,100,TL
1658841900.748903,1502374.000,44772,2,RD,1,100,TU
1658841903.363178,1504924.000,45587,2,RD,1,100,TL
1658841905.977453,1507474.000,45587,2,RD,1,100,TU
1658841908.612745,1510044.500,46417,2,RD,1,100,TL
1658841911.248037,1512615.000,46417,2,RD,1,100,TU
1658841913.881279,1515183.500,47248,2,RD,1,100,TL
1658841916.514520,1517752.000,47248,2,RD,1,100,TU
1658841919.146224,1520319.000,48063,2,RD,1,100,TL
1658841921.777927,1522886.000,48063,2,RD,1,100,TU
1658841924.391690,1525435.500,48877,2,RD,1,100,TL
1658841927.005453,1527985.000,48877,2,RD,1,100,TU
1658841929.637156,1530552.000,49705,2,RD,1,100,TL
1658841932.268860,1533119.000,49705,2,RD,1,100,TU
1658841934.912353,1535697.500,50538,2,RD,1,100,TL
1658841937.555847,1538276.000,50538,2,RD,1,100,TU
1658841940.179349,1540835.000,51355,2,RD,1,100,TL
1658841942.802851,1543394.000,51355,2,RD,1,100,TU
1658841945.421227,1545948.000,52171,2,RD,1,100,TL
1658841948.039603,1548502.000,52171,2,RD,1,100,TU
1658841950.657466,1551055.500,52985,2,RD,1,100,TL
1658841953.275330,1553609.000,52985,2,RD,1,100,TU
1658841955.918311,1556187.000,53814,2,RD,1,100,TL
1658841958.561291,1558765.000,53814,2,RD,1,100,TU
1658841961.180180,1561319.500,54627,2,RD,1,100,TL
1658841963.799069,1563874.000,54627,2,RD,1,100,TU
1658841966.412831,1566423.500,55447,2,RD,1,100,TL
1658841969.026594,1568973.000,55447,2,RD,1,100,TU
1658841971.676239,1571557.500,56284,2,RD,1,100,TL
1658841974.325883,1574142.000,56284,2,RD,1,100,TU
